Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
873,Heartpalmer,Heartflalia,Heartflalia County,Sumpkin,Marches of Sumpkin,Raccoons,The Null-Equation,village,10498,666.79,1167.26,-51.87,-90.26,289,20°C,Alexandria (Egypt),,port,,walls,,,,{t1:argent;division:{division:chevronny;t:vert};charges:[{charge:lymphad;t:sable;p:e;t2:sable;t3:sable;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=10498&name=Heartpalmer&seed=5864998610873&width=1600&height=780&style=default&tags=coast%2Chighway%2Cuncultivated%2Cno+square%2Cpalisade%2Cdense
874,Peoseclore,Azeliondrari,Azeliondrari Territory,Flower Valley,Flower Valley Marches,Corpse-Lilies,The Whisperers,town,11233,1666.91,1164.28,-51.51,31.28,1849,10°C,London (England),,port,,,,,,{t1:gules;ordinaries:[{ordinary:orle;t:argent}];charges:[{charge:drakkar;t:argent;p:e;t2:argent;t3:or;size:1.1}];shield:heater},https://watabou.github.io/city-generator/?name=Peoseclore&population=11233&size=32&seed=5864998610874&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=1.61
875,Girdle,,,Neutrals,undefined,Crocodilians,The Whisperers,town,14927,2582.96,1157.49,-50.68,142.61,400,19°C,Marrakesh (Morocco),,,,,,,,{t1:argent;ordinaries:[{ordinary:point;t:gules}];charges:[{charge:snail;t:gules;p:bdf;t2:azure;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Girdle&population=14927&size=36&seed=5864998610875&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
876,Anjawhisha,,,Neutrals,undefined,Crocodilians,The Whisperers,town,37847,2702.42,1177.93,-53.17,157.13,361,19°C,Marrakesh (Morocco),,port,,,,,,{t1:lozengy-azure-argent-smaller;charges:[{charge:crossHummetty;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Anjawhisha&population=37847&size=51&seed=5864998610876&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=1.71
877,Aulelumina,,,Neutrals,undefined,Walrus-Kin,Cult of Identity,town,13413,2268.79,1210.62,-57.14,104.43,2025,8°C,Prague (Czechia),,port,,,,,,{t1:argent;ordinaries:[{ordinary:cross;t:purpure;line:straight}];charges:[{charge:pike;t:or;p:e;t2:vert;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Aulelumina&population=13413&size=35&seed=5864998610877&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.12
878,Noctinera,,,Neutrals,undefined,Walrus-Kin,Cult of Identity,village,11453,2225.33,1217.3,-57.95,99.15,2304,6°C,Stockholm (Sweden),,,,,,,,{t1:gules;division:{division:chevronny;t:argent};charges:[{charge:trefle;t:or;p:abcpqh;divided:counter;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=11453&name=Noctinera&seed=5864998610878&width=1600&height=780&style=default&tags=highway%2Cno+square%2Cdense
879,Ring,,,Neutrals,undefined,Crocodilians,The Whisperers,town,12298,2537.29,1223.52,-58.71,137.06,289,19°C,Marrakesh (Morocco),,port,,,,,,{t1:gules;charges:[{charge:key;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ring&population=12298&size=33&seed=5864998610879&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.93
880,Auraxa,,,Neutrals,undefined,Walrus-Kin,Cult of Identity,city,29010,2272.56,1250.89,-62.03,104.89,2116,6°C,Stockholm (Sweden),,,,walls,,,shanty town,{t1:gules;division:{division:perPale;t:argent;line:straight};charges:[{charge:owlDisplayed;t:or;p:p;t2:or;size:0.7};{charge:lionSejant;t:vert;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Auraxa&population=29010&size=46&seed=5864998610880&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=1&gates=-1&style=natural
881,Heartwarp,Heartspire,Heartspire Province,Vaneer,Protectorate of Vaneer,Beavers,The Whisperers,town,22386,851.99,1264.36,-63.67,-67.76,361,18°C,Barcelona (Spain),,,,,,,,{t1:argent;charges:[{charge:crossHummetty;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartwarp&population=22386&size=42&seed=5864998610881&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
882,Ironspiron,,,Neutrals,undefined,Crocodilians,The Whisperers,village,2164,2519.2,1266.7,-63.95,134.86,400,17°C,Lisbon (Portugal),,,,,,,,{t1:purpure;ordinaries:[{ordinary:point;t:or}];charges:[{charge:dragonfly;t:or;p:bdf;t2:or;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=2164&name=Ironspiron&seed=5864998610882&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
883,Heartreign,Heartcrownia,Heartcrownia Province,Vaneer,Protectorate of Vaneer,Beavers,The Whisperers,town,20255,959.54,1276.09,-65.1,-54.68,441,16°C,Dubrovnik (Croatia),,,,,,,,{t1:azure;ordinaries:[{ordinary:bendlet;t:argent;line:embattledNotched}];charges:[{charge:helmetGreat;t:gules;p:joe;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Heartreign&population=20255&size=40&seed=5864998610883&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
884,Heartfury,,,Neutrals,undefined,Beavers,The Whisperers,town,3198,608,1291.4,-66.96,-97.41,1936,6°C,Stockholm (Sweden),,,,,,,,{t1:vert;charges:[{charge:annulet;t:or;p:acegi;size:0.4}];shield:heater},https://watabou.github.io/city-generator/?name=Heartfury&population=3198&size=20&seed=5864998610884&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
885,Heartwhisper,Heartcrownia,Heartcrownia Province,Vaneer,Protectorate of Vaneer,Beavers,The Whisperers,town,27417,997.3,1302.84,-68.35,-50.1,361,17°C,Lisbon (Portugal),,,,,,,,{t1:argent;charges:[{charge:swanErased;t:gules;p:e;t2:gules;t3:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartwhisper&population=27417&size=45&seed=5864998610885&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
886,Aereaxarara,,,Neutrals,undefined,Crustacean-Kin,The Whisperers,city,24419,162.42,1330.23,-71.68,-151.56,361,16°C,Dubrovnik (Croatia),,port,,,,,,{t1:azure;charges:[{charge:helmetGreat;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Aereaxarara&population=24419&size=43&seed=5864998610886&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.26
887,Heartflame,Heartglow,Heartglow Province,Vaneer,Protectorate of Vaneer,Beavers,The Whisperers,town,2835,865.91,1354.08,-74.57,-66.06,841,13°C,Milan (Italy),,,,walls,,,,{t1:or;division:{division:perChevron;t:azure;line:straight};charges:[{charge:column;t:sable;p:bdefh;divided:counter;size:0.4}];shield:heater},https://watabou.github.io/city-generator/?name=Heartflame&population=2835&size=19&seed=5864998610887&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
888,Scutaimuta,Snapdmer,Snapdmer Colony,RiverFolk,RiverFolk Trade Company,Pit-Vipers,The Whisperers,town,3785,1488.1,1354.09,-74.58,9.55,225,17°C,Lisbon (Portugal),,port,,,plaza,,,{t1:argent;division:{division:perCross;t:gules;line:straight};charges:[{charge:caravel;t:vert;p:j;t2:vert;t3:vert;size:0.6};{charge:hatchet;t:argent;p:l;size:0.6};{charge:pillar;t:argent;p:m;size:0.6};{charge:crossMoline;t:purpure;p:o;size:0.6}];shield:heater},https://watabou.github.io/city-generator/?name=Scutaimuta&population=3785&size=21&seed=5864998610888&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.74
889,Heartfor,,,Neutrals,undefined,Beavers,The Whisperers,town,13623,702.74,1386.54,-78.52,-85.89,361,15°C,Rome (Italy),,port,,,,,,{t1:vert;ordinaries:[{ordinary:bar;t:or;line:dentilly}];charges:[{charge:crown;t:argent;p:ach;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartfor&population=13623&size=35&seed=5864998610889&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.94
890,Anvilst,,,Neutrals,undefined,Crocodilians,The Whisperers,village,2351,2546.37,1389.18,-78.84,138.17,324,15°C,Rome (Italy),,,,walls,,,,{t1:argent;ordinaries:[{ordinary:pilesInPoint;t:azure}];charges:[{charge:bell;t:gules;p:e;t2:gules;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=2351&name=Anvilst&seed=5864998610890&width=1600&height=780&style=default&tags=estuary%2Chighway%2Cno+square%2Cpalisade%2Cdense
891,Heartwhisper,,,Neutrals,undefined,Beavers,The Whisperers,town,46628,811,1435.2,-84.43,-72.74,324,15°C,Rome (Italy),,,,,,,,{t1:pally-argent-purpure;charges:[{charge:shears;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartwhisper&population=46628&size=56&seed=5864998610891&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
892,Whirlwind,Stormlashia,Stormlashia Area,Meridian Chain,Meridian Chainese League,Penguins,Toxic Liquidity,village,2989,1890.85,22.72,87.24,58.5,400,5°C,Harbin (China),,port,,,,,,{t1:gules;charges:[{charge:crossFleury;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=2989&name=Whirlwind&seed=5864998610892&width=1600&height=780&style=snow&tags=coast%2Chighway%2Cno+square%2Cdense
893,Frosthunder,Snowstingler,Snowstingler Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,town,2434,1561.45,48.75,84.07,18.47,324,7°C,Montreal (Canada),,,,,,,,{t1:argent;ordinaries:[{ordinary:gemelle;t:gules;line:dentilly}];charges:[{charge:gauntlet;t:sable;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Frosthunder&population=2434&size=18&seed=5864998610893&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
894,Snow,Snowstingler,Snowstingler Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,town,3537,1579.07,51.34,83.76,20.61,196,8°C,Prague (Czechia),,port,citadel,,,,,{t1:bendySinister-argent-gules;division:{division:gyronny;t:azure};shield:heater},https://watabou.github.io/city-generator/?name=Snow&population=3537&size=21&seed=5864998610894&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.55
895,Frostmender,Blizardhowl,Blizardhowl Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,town,23961,1506.52,77.44,80.59,11.79,361,8°C,Prague (Czechia),,,,,,,,{t1:gules;charges:[{charge:trefoil;t:or;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Frostmender&population=23961&size=43&seed=5864998610895&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
896,Frostgnome,Blizardhowl,Blizardhowl Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,village,2075,1558.01,93.32,78.66,18.05,784,6°C,Stockholm (Sweden),,,,,,,,{t1:azure;charges:[{charge:spear;t:argent;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=2075&name=Frostgnome&seed=5864998610896&width=1600&height=780&style=default&tags=highway%2Cno+square%2Cdense
897,Icew,Iceclawhi,Iceclawhi Tribe,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,town,19165,1622.9,104.9,77.25,25.94,2116,-2°C,Fairbanks (Alaska),,,,,,,,{t1:chequy-gules-argent-smaller;ordinaries:[{ordinary:flaunches;t:or}];shield:heater},https://watabou.github.io/city-generator/?name=Icew&population=19165&size=40&seed=5864998610897&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
898,Windwdash,,,Neutrals,undefined,Penguins,The Whisperers,town,32476,2290.22,106.57,77.05,107.04,324,9°C,Copenhagen (Denmark),,,,,,,,{t1:azure;charges:[{charge:palace;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Windwdash&population=32476&size=48&seed=5864998610898&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
899,Frostgnome,Blizardhowl,Blizardhowl Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Rotting Vessel,town,3736,1506.35,119.88,75.43,11.77,324,9°C,Copenhagen (Denmark),,port,,walls,,,,{t1:or;charges:[{charge:lymphad;t:gules;p:e;t2:gules;t3:sable;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Frostgnome&population=3736&size=21&seed=5864998610899&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
900,Frostshout,Frostshout,Frostshout Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,town,3397,1635.5,140.2,72.96,27.47,1936,0°C,Murmansk (Russia),,,,walls,,,,{t1:chequy-gules-argent-smaller;charges:[{charge:wolfRampant;t:or;p:e;t2:or;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Frostshout&population=3397&size=21&seed=5864998610900&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
901,Grun,Grun,Grun Canton,Scute,Scutean Confederacy,Manis,True Smelt,city,15271,2304.5,146.1,72.24,108.77,324,10°C,London (England),,port,citadel,walls,,,,{t1:semy_of_crossSaltire-gules-argent;ordinaries:[{ordinary:orle;t:or}];charges:[{charge:anchor;t:or;p:ken;size:0.4}];shield:heater},https://watabou.github.io/city-generator/?name=Grun&population=15271&size=36&seed=5864998610901&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=true&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
902,Blodtail,Iron,Iron Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,town,2045,729.89,159.85,70.57,-82.59,256,11°C,Antwerp (Belgium),,,,,,,,{t1:azure;charges:[{charge:pear;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Blodtail&population=2045&size=17&seed=5864998610902&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
903,Frostshout,Frosthunia,Frosthunia Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,town,2044,1543.92,154.68,71.2,16.34,529,10°C,London (England),,,,,,,,{t1:azure;ordinaries:[{ordinary:cross;t:argent;line:straight}];charges:[{charge:dragonPassant;t:azure;p:beh;t2:azure;t3:or;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Frostshout&population=2044&size=17&seed=5864998610903&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
904,Snowspices,Galia,Galia Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Rotting Vessel,town,9345,1491.4,165.56,69.88,9.95,324,11°C,Antwerp (Belgium),,,,,,,,{t1:chequy-gules-argent-smaller;charges:[{charge:key;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Snowspices&population=9345&size=30&seed=5864998610904&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
905,Nocturnyx,Vesperuro,Vesperuro Land,Theocracy,Holy State of Theocracy,Dolphin-Kin,Siren Song,town,18565,284.43,175.55,68.66,-136.73,2116,0°C,Murmansk (Russia),,,citadel,,plaza,,,{t1:purpure;division:{division:perPile;t:or;line:straight};charges:[{charge:escallop;t:argent;p:jleh;divided:counter;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Nocturnyx&population=18565&size=39&seed=5864998610905&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
906,Blod,Frosthornia,Frosthornia Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,town,9881,791.63,181.93,67.89,-75.09,324,11°C,Antwerp (Belgium),,,citadel,,,,,{t1:azure;ordinaries:[{ordinary:pale;t:or;line:straight}];charges:[{charge:sun;t:argent;p:y;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Blod&population=9881&size=31&seed=5864998610906&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
907,Grumzug,Grun,Grun Canton,Scute,Scutean Confederacy,Manis,True Smelt,town,25273,2327.2,175.35,68.69,111.53,225,12°C,Paris (France),,,,,,,,{t1:or;division:{division:perBendSinister;t:azure;line:straight};charges:[{charge:key;t:purpure;p:j;size:0.7};{charge:serpent;t:argent;p:o;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Grumzug&population=25273&size=44&seed=5864998610907&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
908,Whiscadows,Shadowt,Shadowt Governorate,Relience,Reliencean Republic,Small-Paws,The Whisperers,town,14585,1095.22,187.87,67.17,-38.2,256,12°C,Paris (France),,,,,,,,{t1:maily-or-azure;division:{division:perPale;t:vert;line:straight};ordinaries:[{ordinary:gemelle;t:gules;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Whiscadows&population=14585&size=36&seed=5864998610908&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
909,Whisher,Shadowt,Shadowt Governorate,Relience,Reliencean Republic,Small-Paws,The Whisperers,town,8118,1110.95,188.71,67.06,-36.28,289,12°C,Paris (France),,,,,,,,{t1:argent;division:{division:perFess;t:purpure;line:embattledGhibellin};charges:[{charge:mullet7;t:gules;p:k;size:0.7};{charge:peacockInPride;t:or;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Whisher&population=8118&size=29&seed=5864998610909&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
910,Grungurkun,,,Neutrals,undefined,Manis,The Whisperers,town,5483,2551.44,192.49,66.6,138.78,441,11°C,Antwerp (Belgium),,,,walls,,,,{t1:purpure;division:{division:perBend;t:argent;line:archedReversed};charges:[{charge:tower;t:or;p:l;t2:or;size:0.7};{charge:donkeyHeadCaboshed;t:azure;p:m;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Grungurkun&population=5483&size=25&seed=5864998610910&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
911,Frostwhirl,Frosthunia,Frosthunia Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,town,9336,1551.27,202.29,65.41,17.23,289,12°C,Paris (France),,,,walls,,,,{t1:bendySinister-argent-vert;division:{division:perPile;t:gules;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Frostwhirl&population=9336&size=30&seed=5864998610911&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
912,Radowcrus,Thunderw,Thunderw Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,village,2096,682.02,211.15,64.34,-88.41,324,12°C,Paris (France),,,,,,,,{t1:pally-sable-argent;ordinaries:[{ordinary:gore;t:or}];shield:heater},https://watabou.github.io/village-generator/?pop=2096&name=Radowcrus&seed=5864998610912&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
913,Ironclaw,Blod,Blod District,Relience,Reliencean Republic,Small-Paws,Cult of the Crushed,town,2992,1040.88,211.16,64.34,-44.8,441,11°C,Antwerp (Belgium),,,,,,,,{t1:vert;division:{division:perCross;t:purpure;line:straight};charges:[{charge:lochaberAxe;t:or;p:j;t2:argent;size:0.6};{charge:basilisk;t:argent;p:l;size:0.6};{charge:lionRampant;t:argent;p:m;size:0.6};{charge:lymphad;t:argent;p:o;size:0.6}];shield:heater},https://watabou.github.io/city-generator/?name=Ironclaw&population=2992&size=20&seed=5864998610913&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
914,Grumnok,Grumnok,Grumnok Territory,Scute,Scutean Confederacy,Manis,The Whisperers,village,4804,2487.27,207.56,64.77,130.98,289,12°C,Paris (France),,port,,,,,,{t1:vert;charges:[{charge:pique;t:argent;p:abcdefgzi;size:0.3}];shield:heater},https://watabou.github.io/village-generator/?pop=4804&name=Grumnok&seed=5864998610914&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
915,Grunthrak,,,Neutrals,undefined,Manis,The Whisperers,town,3054,2550.33,214.42,63.94,138.65,289,12°C,Paris (France),,port,,,,,,{t1:or;ordinaries:[{ordinary:cross;t:gules;line:enclavy}];charges:[{charge:annulet;t:or;p:behdf;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Grunthrak&population=3054&size=20&seed=5864998610915&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
916,Grung,,,Neutrals,undefined,Manis,The Whisperers,village,16933,2591.29,206.1,64.95,143.63,256,12°C,Paris (France),,,,,,,,{t1:or;charges:[{charge:plough;t:azure;p:e;t2:azure;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=16933&name=Grung&seed=5864998610916&width=1600&height=780&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
917,Mondersha,Frosthornia,Frosthornia Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,town,2309,808.49,221.85,63.04,-73.04,289,13°C,Milan (Italy),,,,,,,,{t1:argent;ordinaries:[{ordinary:cross;t:vert;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Mondersha&population=2309&size=18&seed=5864998610917&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
918,Iderery,Icetshayer,Icetshayer Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,village,2066,1575.66,217.04,63.62,20.19,400,12°C,Paris (France),,,,,,,,{t1:purpure;charges:[{charge:owlDisplayed;t:argent;p:jln;t2:argent;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=2066&name=Iderery&seed=5864998610918&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
919,Ceris,Aumixa,Aumixa Parish,Theocracy,Holy State of Theocracy,Dolphin-Kin,Siren Song,city,2845,454.88,233.9,61.57,-116.02,361,13°C,Milan (Italy),,,,,,,,{t1:azure;ordinaries:[{ordinary:bordure;t:argent}];charges:[{charge:mullet10;t:azure;p:ABCDEFGHIJKL;t2:or;t3:argent;size:0.18};{charge:dragonfly;t:argent;p:e;size:1.1}];shield:heater},https://watabou.github.io/city-generator/?name=Ceris&population=2845&size=19&seed=5864998610919&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
920,Shaletoth,Ironsker,Ironsker Tribe,Guirilla,Guirillan Tribes,Small-Paws,Cult of the Crushed,town,32196,907.72,227.6,62.34,-60.98,324,13°C,Milan (Italy),,port,,,plaza,,,{t1:argent;ordinaries:[{ordinary:pale;t:azure;line:straight}];charges:[{charge:triangle;t:argent;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Shaletoth&population=32196&size=48&seed=5864998610920&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
921,Snowtgnome,Icetshayer,Icetshayer Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,village,15062,1601.57,230.8,61.95,23.34,361,13°C,Milan (Italy),,port,,,,,,{t1:or;charges:[{charge:crossMaltese;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=15062&name=Snowtgnome&seed=5864998610921&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
922,Canopywinds,Canopysunia,Canopysunia Canton,Meridian Chain,Meridian Chainese League,Canopy-Climbers,The Whisperers,city,15067,1896.89,229.65,62.09,59.23,2209,1°C,Arkhangelsk (Russia),,,,walls,,,,{t1:gules;ordinaries:[{ordinary:pale;t:argent;line:rayonne}];charges:[{charge:wolfPassant;t:azure;p:kn;t2:azure;t3:argent;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Canopywinds&population=15067&size=36&seed=5864998610922&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
923,Frostsnarl,Icetshayer,Icetshayer Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,town,2066,1571.21,239.75,60.86,19.65,400,12°C,Paris (France),,,,walls,,,,{t1:azure;ordinaries:[{ordinary:pallReversed;t:argent}];charges:[{charge:crossFormee2;t:azure;p:bemo;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Frostsnarl&population=2066&size=17&seed=5864998610923&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
924,Canopywhisha,Canopyshia,Canopyshia Canton,Meridian Chain,Meridian Chainese League,Canopy-Climbers,The Whisperers,city,3949,1945.16,242.74,60.5,65.1,324,13°C,Milan (Italy),,,,,,,,{t1:argent;charges:[{charge:lionHeadCaboshed;t:gules;p:jlh;t2:gules;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Canopywhisha&population=3949&size=22&seed=5864998610924&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
